lift,date,weight
Deadlift,"1/24/2019",275
Deadlift,"2/6/2019",285
Squat,"2/14/2019",205
Deadlift,"3/22/2019",295
Deadlift,"3/28/2019",300
Squat,"3/28/2019",210
Deadlift,"4/18/2019",315
Deadlift,"4/21/2019",320
Deadlift,"7/5/2019",325
Squat,"7/5/2019",275
Bench,"8/5/2019",225
Deadlift,"10/5/2019",335
Deadlift,"10/12/2019",345
Deadlift,"10/26/2019",365
Deadlift,"12/5/2019",405
Deadlift,"6/29/2020",335
Squat,"7/9/2019",315
Squat,"7/8/2020",225
Bench,"7/10/2020",195
Squat,"7/15/2020",250
Bench,"7/17/2020",200
Squat,"7/22/2020",275
Bench,"7/28/2020",205
Squat,"7/29/2020",280
Bench,"8/4/2020",225
Squat,"8/5/2020",315
Bench,"8/11/2020",230
Bench,"8/21/2020",240
Deadlift,"8/24/2020",345
Squat,"8/26/2020",325
Deadlift,"8/31/2020",365
Squat,"9/2/2020",340
Deadlift,"9/7/2020",385
Deadlift,"9/16/2020",405
Squat,"9/14/2020",365
Deadlift,"9/28/2020",425
Squat,"11/13/2020",385
Deadlift,"12/1/2020",455
Bench,"12/1/2020",245
Deadlift,"12/4/2020",465
